elapsed_s,cpu_pct,rss_mb,threads,ports
0,10.3,109.8,5,64
1,8.3,109.9,5,64
2,6.5,109.9,5,64
3,4.3,109.9,5,64
4,5.6,109.9,5,64
5,6.3,110.2,13,64
6,4.5,110.2,13,64
7,4.0,110.2,13,64
8,6.7,110.2,13,64
9,8.2,110.2,13,64
10,4.2,110.7,7,64
11,3.5,110.7,7,64
12,2.8,110.7,7,64
14,14.0,110.7,6,64
15,8.9,110.7,6,64
16,8.7,110.8,10,64
17,10.7,110.8,10,64
18,11.8,110.8,10,64
19,9.0,110.8,10,64
20,10.5,110.9,10,64
21,7.8,110.9,10,64
22,9.6,111.0,13,64
23,6.0,111.0,13,64
24,4.8,111.0,13,64
25,3.5,111.0,13,64
26,4.1,111.0,13,64
27,7.5,110.8,7,64
28,8.5,110.8,7,64
29,4.7,110.9,7,64
30,6.6,111.0,11,64
