elapsed_s,cpu_pct,rss_mb,threads,ports
0,0.0,88.5,6,63
1,0.0,88.5,6,63
2,0.0,88.5,6,63
3,0.0,88.5,6,63
4,0.0,88.5,6,63
5,0.0,88.5,6,63
6,0.0,88.5,6,63
7,0.0,88.5,6,63
8,0.0,88.5,6,63
9,0.0,88.5,6,63
10,0.0,88.5,6,63
11,0.0,88.5,6,63
13,0.0,88.5,6,63
14,0.0,88.5,6,63
15,0.0,88.5,6,63
16,0.0,88.5,6,63
17,0.0,88.5,6,63
18,0.0,88.5,6,63
19,0.0,88.5,6,63
20,0.0,88.5,6,63
21,0.0,88.5,6,63
22,0.0,88.5,6,63
23,0.0,88.5,6,63
24,0.0,88.5,6,63
25,0.0,88.5,6,63
26,0.0,88.5,6,63
27,0.0,88.5,6,63
28,0.0,88.5,6,63
29,0.0,88.5,6,63
30,0.0,88.5,6,63
